Data table for Real componets Re[epsilon] for Argon gas
Re values are multiplied by 1e4 to better display the scale
Energy[eV]	Re*1e4
35.92	-0.000303895
35.94	-0.000303447
35.96	-0.000302996
35.98	-0.00030254
36	-0.000302076
36.02	-0.000301614
36.04	-0.000301137
36.06	-0.000300662
36.08	-0.000300183
36.1	-0.000299699
36.12	-0.000299208
36.14	-0.000298713
36.16	-0.000298215
36.18	-0.000297714
36.2	-0.000297208
36.22	-0.000296699
36.24	-0.000296185
36.26	-0.000295669
36.28	-0.000295146
36.3	-0.000294622
36.32	-0.000294095
36.34	-0.000293569
36.36	-0.000292897
36.38	-0.000292501
36.4	-0.000291965
36.42	-0.000291426
36.44	-0.000290885
36.46	-0.000290343
36.48	-0.000289808
36.5	-0.00028926
36.52	-0.000288717
36.54	-0.000288173
36.56	-0.000287631
36.58	-0.000287088
36.6	-0.000286548
36.62	-0.000286008
36.64	-0.00028547
36.66	-0.000284931
36.68	-0.000284396
36.7	-0.00028386
36.72	-0.000283328
36.74	-0.000282798
36.76	-0.000282269
36.78	-0.000281743
36.8	-0.000281218
36.82	-0.000280697
36.84	-0.000280178
36.86	-0.00027966
36.88	-0.000279145
36.9	-0.000278635
36.92	-0.000278125
36.94	-0.000277619
36.96	-0.000277116
36.98	-0.000276615
37	-0.000276117
37.02	-0.000275623
37.04	-0.000275131
37.06	-0.000274643
37.08	-0.000274156
37.1	-0.000273673
37.12	-0.000273195
37.14	-0.000272718
37.16	-0.000272245
37.18	-0.000271774
37.2	-0.000271308
37.22	-0.000270844
37.24	-0.000270383
37.26	-0.000269923
37.28	-0.000269469
37.3	-0.000269017
37.32	-0.00026857
37.34	-0.000268125
37.36	-0.000267682
37.38	-0.000267242
37.4	-0.000266804
37.42	-0.00026637
37.44	-0.000265939
37.46	-0.000265509
37.48	-0.000265083
37.5	-0.000264659
37.52	-0.000264236
37.54	-0.000263817
37.56	-0.0002634
37.58	-0.000262984
37.6	-0.00026257
37.62	-0.000262157
37.64	-0.000261745
37.66	-0.000261334
37.68	-0.000260925
37.7	-0.000260516
37.72	-0.000260108
37.74	-0.0002597
37.76	-0.000259292
37.78	-0.000258886
37.8	-0.000258479
37.82	-0.000258077
37.84	-0.000257668
37.86	-0.000257263
37.88	-0.000256857
37.9	-0.000256452
37.92	-0.000256047
37.94	-0.000255642
37.96	-0.000255237
37.98	-0.000254834
38	-0.000254428
38.02	-0.000254022
38.04	-0.000253617
38.06	-0.000253211
38.08	-0.000252805
38.1	-0.000252399
38.12	-0.000251992
38.14	-0.000251585
38.16	-0.000251178
38.18	-0.000250771
38.2	-0.000250364
38.22	-0.000249956
38.24	-0.000249547
38.26	-0.000249139
38.28	-0.000248729
38.3	-0.000248321
38.32	-0.000247911
38.34	-0.0002475
38.36	-0.000247089
38.38	-0.000246463
38.4	-0.000246267
38.42	-0.000245856
38.44	-0.000245443
38.46	-0.000245031
