Data table for Imaginary Im[epsilon] and real componets Re[epsilon] for Argon gas
Re and Im values are multiplied by 1e4 to better display the scale
Energy[eV]	Re*1e4	Im*1e4
0	-nan	864	-0.204481
0	-nan	865	-0.204227
0	-nan	866	-0.203967
0	-nan	867	-0.203711
0	-nan	868	-0.203459
0	-nan	869	-0.203294
0	-nan	870	-0.202949
0	-nan	871	-0.202697
0	-nan	872	-0.202444
0	-nan	873	-0.202194
0	-nan	874	-0.201945
0	-nan	875	-0.201691
0	-nan	876	-0.201441
0	-nan	877	-0.201187
0	-nan	878	-0.200943
0	-nan	879	-0.200694
0	-nan	880	-0.20045
0	-nan	881	-0.200203
0	-nan	882	-0.199947
0	-nan	883	-0.199712
0	-nan	884	-0.199463
0	-nan	885	-0.199219
0	-nan	886	-0.198973
0	-nan	887	-0.198731
0	-nan	888	-0.198487
0	-nan	889	-0.198244
0	-nan	890	-0.198002
0	-nan	891	-0.197759
0	-nan	892	-0.197529
0	-nan	893	-0.197281
0	-nan	894	-0.197042
0	-nan	895	-0.196803
0	-nan	896	-0.196564
0	-nan	897	-0.196324
0	-nan	898	-0.19609
0	-nan	899	-0.195869
0	-nan	900	-0.195617
0	-nan	901	-0.195385
0	-nan	902	-0.195147
0	-nan	903	-0.194875
0	-nan	904	-0.194679
0	-nan	905	-0.194447
0	-nan	906	-0.194218
0	-nan	907	-0.193981
0	-nan	908	-0.193749
0	-nan	909	-0.193517
0	-nan	910	-0.19329
0	-nan	911	-0.193059
0	-nan	912	-0.19283
0	-nan	913	-0.192602
0	-nan	914	-0.192372
0	-nan	915	-0.192143
0	-nan	916	-0.191932
0	-nan	917	-0.191771
0	-nan	918	-0.191464
0	-nan	919	-0.191248
0	-nan	920	-0.191012
0	-nan	921	-0.190789
0	-nan	922	-0.19058
0	-nan	923	-0.19034
0	-nan	924	-0.190118
0	-nan	925	-0.189896
0	-nan	926	-0.189673
0	-nan	927	-0.189451
0	-nan	928	-0.189212
0	-nan	929	-0.188989
0	-nan	930	-0.188789
0	-nan	931	-0.188571
0	-nan	932	-0.188351
0	-nan	933	-0.188138
0	-nan	934	-0.187919
0	-nan	935	-0.187698
0	-nan	936	-0.187501
0	-nan	937	-0.187265
0	-nan	938	-0.187049
0	-nan	939	-0.186831
0	-nan	940	-0.186617
0	-nan	941	-0.186402
0	-nan	942	-0.186183
0	-nan	943	-0.185984
0	-nan	944	-0.18576
0	-nan	945	-0.18555
0	-nan	946	-0.185337
0	-nan	947	-0.185124
0	-nan	948	-0.184914
0	-nan	949	-0.184674
0	-nan	950	-0.184493
0	-nan	951	-0.184285
0	-nan	952	-0.184075
0	-nan	953	-0.183867
0	-nan	954	-0.183658
0	-nan	955	-0.183455
0	-nan	956	-0.183243
0	-nan	957	-0.183046
0	-nan	958	-0.182828
0	-nan	959	-0.182623
0	-nan	960	-0.182418
0	-nan	961	-0.18221
0	-nan	962	-0.18201
0	-nan	963	-0.181775
0	-nan	964	-0.181598
0	-nan	965	-0.181396
0	-nan	966	-0.181194
0	-nan	967	-0.180991
0	-nan	968	-0.180788
0	-nan	969	-0.180587
0	-nan	970	-0.180382
0	-nan	971	-0.180182
0	-nan	972	-0.179977
0	-nan	973	-0.179786
