Data table for Real componets Re[epsilon] for Argon gas
Re values are multiplied by 1e4 to better display the scale
Energy[eV]	Re*1e4
738.182	-0.0986508
739.091	-0.0984829
740	-0.0983153
740.909	-0.098148
741.818	-0.097981
742.727	-0.0978144
743.636	-0.0976481
744.545	-0.0974822
745.455	-0.0973165
746.364	-0.0971512
747.273	-0.0969863
748.182	-0.0968216
749.091	-0.0966573
750	-0.0964933
750.909	-0.0963296
751.818	-0.0961663
752.727	-0.0960033
753.636	-0.0958406
754.545	-0.0956782
755.455	-0.0955162
756.364	-0.0953545
757.273	-0.0951931
758.182	-0.095032
759.091	-0.0948713
760	-0.0947109
760.909	-0.0945508
761.818	-0.094391
762.727	-0.0942316
763.636	-0.0940724
764.545	-0.0939136
765.455	-0.0937551
766.364	-0.093597
767.273	-0.0934391
768.182	-0.0932816
769.091	-0.0931244
770	-0.0929675
770.909	-0.0928109
771.818	-0.0926547
772.727	-0.0924987
773.636	-0.0923431
774.545	-0.0921878
775.455	-0.0920328
776.364	-0.0918782
777.273	-0.0917238
778.182	-0.0915698
779.091	-0.0914161
780	-0.0912626
780.909	-0.0911095
781.818	-0.0909568
782.727	-0.0908043
783.636	-0.0906521
784.545	-0.0905003
785.455	-0.0903487
786.364	-0.0901975
787.273	-0.0900466
788.182	-0.089896
789.091	-0.0897456
790	-0.0895957
790.909	-0.089446
791.818	-0.0892966
792.727	-0.0891475
793.636	-0.0890134
794.545	-0.0888649
795.455	-0.0887167
796.364	-0.0885689
797.273	-0.0884213
798.182	-0.0882741
799.091	-0.0881272
800	-0.0879805
800.909	-0.0878342
801.818	-0.0876881
802.727	-0.0875424
803.636	-0.087397
804.545	-0.0872518
805.455	-0.087107
806.364	-0.0869625
807.273	-0.0868182
808.182	-0.0866743
809.091	-0.0865306
810	-0.0863873
810.909	-0.0862442
811.818	-0.0861015
812.727	-0.085959
813.636	-0.0858168
814.545	-0.0856749
815.455	-0.0855334
816.364	-0.0853921
817.273	-0.0852511
818.182	-0.0851104
819.091	-0.0849699
820	-0.0848298
820.909	-0.08469
821.818	-0.0845504
822.727	-0.0844112
823.636	-0.0842722
824.545	-0.0841335
825.455	-0.0839951
826.364	-0.083857
827.273	-0.0837192
828.182	-0.0835816
829.091	-0.0834444
830	-0.0833074
830.909	-0.0831707
831.818	-0.0830343
832.727	-0.0828982
833.636	-0.0827623
834.545	-0.0826268
835.455	-0.0824915
836.364	-0.0823565
837.273	-0.0822218
838.182	-0.0820873
839.091	-0.0819532
840	-0.0818193
840.909	-0.0816857
841.818	-0.0815523
842.727	-0.0814193
843.636	-0.0812865
844.545	-0.081154
845.455	-0.0810217
846.364	-0.0808898
847.273	-0.0807581
848.182	-0.0806267
849.091	-0.0804955
850	-0.0803647
850.909	-0.0802341
851.818	-0.0801037
852.727	-0.0799737
853.636	-0.0798439
854.545	-0.0797143
855.455	-0.0795851
856.364	-0.0794561
857.273	-0.0793274
858.182	-0.0791989
859.091	-0.0790707
860	-0.0789428
860.909	-0.0788151
861.818	-0.0786877
862.727	-0.0785606
863.636	-0.0784337
